Provincia,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G
Buenos Aires,14911542,350,341,213,471,147,514,551,607,611
Caba,2890151,48,48,48,48,48,48,48,48,48
Catamarca,343343,14,2,1,29,47,34,29,29,48
Chaco,927414,28,16,1,47,42,47,47,44,61
Chubut,490554,14,10,15,14,46,31,54,38,38
Córdoba,3139606,176,87,5,181,73,288,309,277,294
Corrientes,857994,22,10,1,23,50,46,51,39,62
Entre Rios,1119919,46,37,4,52,17,123,123,78,92
Formosa,452714,13,3,0,16,21,59,30,16,38
Jujuy,628141,19,15,0,48,38,38,33,28,39
La Pampa,302570,11,17,13,52,60,68,69,35,49
La Rioja,319248,11,22,1,29,16,53,34,13,24
Mendoza,1654993,30,18,28,60,14,108,74,122,123
Misiones,836097,29,25,0,38,26,56,59,40,54
Neuquen,522527,17,10,17,21,33,42,41,27,33
Rio Negro,596964,24,12,21,47,69,52,53,65,65
Salta,1117163,32,19,1,87,65,74,54,43,70
San Juan,631000,9,1,11,14,16,73,39,51,48
San Luis,410669,10,7,9,37,13,88,41,35,39
Santa Cruz,268436,5,4,7,14,20,15,17,16,18
Santa Fe,3055611,173,138,3,151,61,265,290,179,225
Santiago Del Estero,671932,13,18,1,73,79,82,43,41,67
Tierra Del Fuego,125823,3,2,2,3,4,3,3,6,6
Tucumán,1210114,28,7,1,22,15,52,60,69,76
