Fecha cotizacion;Compra;Venta;
3/1/2012;4,2900;4,3200;
4/1/2012;4,2900;4,3200;
5/1/2012;4,2900;4,3200;
6/1/2012;4,3000;4,3300;
9/1/2012;4,3000;4,3300;
10/1/2012;4,3000;4,3300;
11/1/2012;4,3000;4,3300;
12/1/2012;4,3000;4,3300;
13/1/2012;4,3000;4,3300;
16/1/2012;4,3000;4,3300;
17/1/2012;4,3000;4,3300;
18/1/2012;4,3000;4,3300;
19/1/2012;4,3000;4,3300;
20/1/2012;4,3100;4,3400;
23/1/2012;4,3100;4,3400;
24/1/2012;4,3150;4,3450;
25/1/2012;4,3200;4,3500;
26/1/2012;4,3200;4,3500;
27/1/2012;4,3200;4,3500;
30/1/2012;4,3200;4,3500;
31/1/2012;4,3200;4,3500;
1/2/2012;4,3200;4,3500;
2/2/2012;4,3200;4,3500;
3/2/2012;4,3200;4,3500;
6/2/2012;4,3200;4,3500;
7/2/2012;4,3200;4,3500;
8/2/2012;4,3250;4,3550;
9/2/2012;4,3300;4,3600;
10/2/2012;4,3300;4,3600;
13/2/2012;4,3300;4,3600;
14/2/2012;4,3300;4,3600;
15/2/2012;4,3300;4,3600;
16/2/2012;4,3200;4,3600;
17/2/2012;4,3400;4,3700;
22/2/2012;4,3400;4,3700;
23/2/2012;4,3400;4,3700;
24/2/2012;4,3400;4,3700;
28/2/2012;4,3400;4,3700;
29/2/2012;4,3400;4,3700;
1/3/2012;4,3400;4,3700;
2/3/2012;4,3250;4,3550;
5/3/2012;4,3250;4,3550;
6/3/2012;4,3250;4,3550;
7/3/2012;4,3250;4,3550;
8/3/2012;4,3250;4,3550;
9/3/2012;4,3250;4,3550;
12/3/2012;4,3250;4,3550;
13/3/2012;4,3300;4,3600;
14/3/2012;4,3400;4,3700;
15/3/2012;4,3400;4,3700;
16/3/2012;4,3450;4,3750;
19/3/2012;4,3450;4,3750;
20/3/2012;4,3450;4,3750;
21/3/2012;4,3500;4,3800;
22/3/2012;4,3500;4,3800;
23/3/2012;4,3500;4,3800;
26/3/2012;4,3600;4,3900;
27/3/2012;4,3600;4,3900;
28/3/2012;4,3600;4,3900;
29/3/2012;4,3600;4,3900;
30/3/2012;4,3600;4,3900;
3/4/2012;4,3700;4,4000;
4/4/2012;4,3700;4,4000;
9/4/2012;4,3700;4,4000;
10/4/2012;4,3700;4,4000;
11/4/2012;4,3700;4,4000;
12/4/2012;4,3750;4,4050;
13/4/2012;4,3800;4,4100;
16/4/2012;4,3800;4,4100;
17/4/2012;4,3800;4,4100;
18/4/2012;4,3900;4,4200;
19/4/2012;4,3900;4,4200;
20/4/2012;4,3900;4,4200;
23/4/2012;4,3900;4,4200;
24/4/2012;4,4000;4,4300;
25/4/2012;4,4000;4,4300;
26/4/2012;4,4000;4,4300;
27/4/2012;4,4000;4,4300;
2/5/2012;4,4100;4,4400;
3/5/2012;4,4100;4,4400;
4/5/2012;4,4200;4,4500;
7/5/2012;4,4200;4,4500;
8/5/2012;4,4200;4,4500;
9/5/2012;4,4300;4,4600;
10/5/2012;4,4300;4,4600;
11/5/2012;4,4300;4,4600;
14/5/2012;4,4300;4,4600;
15/5/2012;4,4300;4,4600;
16/5/2012;4,4300;4,4600;
17/5/2012;4,4400;4,4700;
18/5/2012;4,4400;4,4700;
21/5/2012;4,4500;4,4800;
22/5/2012;4,4500;4,4800;
23/5/2012;4,4500;4,4800;
24/5/2012;4,4500;4,4800;
28/5/2012;4,4600;4,4900;
29/5/2012;4,4600;4,4900;
30/5/2012;4,4600;4,4900;
31/5/2012;4,4600;4,4900;
1/6/2012;4,4600;4,4900;
4/6/2012;4,4600;4,4900;
5/6/2012;4,4700;4,5000;
6/6/2012;4,4800;4,5100;
7/6/2012;4,4700;4,5000;
8/6/2012;4,4700;4,5000;
11/6/2012;4,4700;4,5000;
12/6/2012;4,4700;4,5000;
13/6/2012;4,4700;4,5000;
14/6/2012;4,4800;4,5100;
15/6/2012;4,4800;4,5100;
18/6/2012;4,4800;4,5100;
19/6/2012;4,4800;4,5100;
21/6/2012;4,4900;4,5200;
22/6/2012;4,4900;4,5200;
25/6/2012;4,5000;4,5300;
26/6/2012;4,5000;4,5300;
27/6/2012;4,5000;4,5300;
28/6/2012;4,5000;4,5300;
29/6/2012;4,5100;4,5400;
2/7/2012;4,5100;4,5400;
3/7/2012;4,5100;4,5400;
4/7/2012;4,5100;4,5400;
5/7/2012;4,5100;4,5400;
6/7/2012;4,5200;4,5500;
10/7/2012;4,5200;4,5500;
11/7/2012;4,5200;4,5500;
12/7/2012;4,5300;4,5600;
13/7/2012;4,5300;4,5600;
16/7/2012;4,5300;4,5600;
17/7/2012;4,5400;4,5700;
18/7/2012;4,5400;4,5700;
19/7/2012;4,5400;4,5700;
20/7/2012;4,5400;4,5700;
23/7/2012;4,5500;4,5800;
24/7/2012;4,5500;4,5800;
25/7/2012;4,5500;4,5800;
26/7/2012;4,5500;4,5800;
27/7/2012;4,5600;4,5900;
30/7/2012;4,5600;4,5900;
31/7/2012;4,5600;4,5900;
1/8/2012;4,5700;4,6000;
2/8/2012;4,5700;4,6000;
3/8/2012;4,5700;4,6000;
6/8/2012;4,5700;4,6000;
7/8/2012;4,5700;4,6000;
8/8/2012;4,5800;4,6100;
9/8/2012;4,5800;4,6100;
10/8/2012;4,5800;4,6100;
13/8/2012;4,5900;4,6200;
14/8/2012;4,5900;4,6200;
15/8/2012;4,5900;4,6200;
16/8/2012;4,5900;4,6200;
17/8/2012;4,5900;4,6200;
