,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra_óptica,Wireless,Total,kpi_3
0,2024,1,Buenos Aires,203297,2790663,1799013,150290,5044557,
1,2023,4,Buenos Aires,223391,2797700,1784593,137993,5011620,0.8080273765502836
2,2023,3,Buenos Aires,237705,2784175,1740239,137921,4968237,2.548730375540371
3,2023,2,Buenos Aires,265537,2766463,1645945,138405,4885488,5.728867003453943
4,2023,1,Buenos Aires,304583,2761043,1551074,132458,4820928,6.116471554548655
5,2022,4,Buenos Aires,325908,2767247,1499149,129910,4794665,3.463631700384685
6,2022,3,Buenos Aires,339648,2748325,1436433,126846,4721668,4.366092953865582
7,2022,2,Buenos Aires,350652,2719613,1399043,126847,4667183,2.6725411584919123
8,2022,1,Buenos Aires,392045,2728865,1242121,125521,4555424,12.63339078882009
9,2021,4,Buenos Aires,426325,2706506,1176024,126887,4509157,5.620378495676959
10,2021,3,Buenos Aires,585729,2595485,885613,120228,4251609,32.79208864368522
11,2021,2,Buenos Aires,603255,2503830,854173,113546,4132351,3.6807531963665445
12,2021,1,Buenos Aires,629679,2452056,821597,98806,4060002,3.964960923664522
13,2020,4,Buenos Aires,635651,2441248,804991,93444,4033261,2.0628802061141056
14,2020,3,Buenos Aires,653930,2384557,749087,94162,3937277,7.462951566373466
15,2020,2,Buenos Aires,661272,2244277,723072,91736,3777546,3.5978436448929014
16,2020,1,Buenos Aires,673237,2210349,720688,85443,3708051,0.33079501809382145
17,2019,4,Buenos Aires,720011,2191672,669194,87111,3686254,7.694928525958093
18,2019,3,Buenos Aires,1277249,2144956,425386,85572,3960233,57.31453315341831
19,2019,2,Buenos Aires,1284658,2079900,382971,75240,3855698,11.07525112867554
20,2019,1,Buenos Aires,1304507,2020730,336362,64867,3746667,13.856797141175281
21,2018,4,Buenos Aires,1305576,1949637,296102,65477,3636606,13.59666601373851
22,2018,3,Buenos Aires,1435856,1929273,156382,62318,3610277,89.34532107275773
23,2018,2,Buenos Aires,1450203,1807868,143626,71256,3500699,8.881400303566208
24,2018,1,Buenos Aires,1452061,1793884,133928,64379,3475446,7.241204229138044
25,2017,4,Buenos Aires,1241172,1718013,131181,60082,3181896,2.0940532546634043
26,2017,3,Buenos Aires,1288025,1571180,124920,35058,3057960,5.012007684918348
27,2017,2,Buenos Aires,1378549,1535037,119132,21555,3078631,4.858476311990061
28,2017,1,Buenos Aires,1559178,1465817,118839,21200,3189376,0.2465520578261345
29,2016,4,Buenos Aires,1563542,1414676,118747,21394,3142701,0.07747564148989027
30,2016,3,Buenos Aires,1574216,1355770,113463,18867,3086592,4.657024756969232
31,2016,2,Buenos Aires,1579448,1305949,113070,21163,3045291,0.34757230034491904
